epoch: 1/100, train_loss: 2.3974, train_acc: 0.1717, test_loss: 238209170637.5060, test_acc: 0.1273 
epoch: 2/100, train_loss: 2.2345, train_acc: 0.1780, test_loss: 131721117.6652, test_acc: 0.1387 
epoch: 3/100, train_loss: 2.1978, train_acc: 0.1879, test_loss: 289302.2755, test_acc: 0.1423 
epoch: 4/100, train_loss: 2.1445, train_acc: 0.2146, test_loss: 2.6160, test_acc: 0.1081 
epoch: 5/100, train_loss: 2.0884, train_acc: 0.2461, test_loss: 2.4979, test_acc: 0.1269 
epoch: 6/100, train_loss: 2.0485, train_acc: 0.2664, test_loss: 2.7226, test_acc: 0.1217 
epoch: 7/100, train_loss: 2.0164, train_acc: 0.2826, test_loss: 2.8213, test_acc: 0.1066 
epoch: 8/100, train_loss: 1.9835, train_acc: 0.2968, test_loss: 3.7010, test_acc: 0.1050 
epoch: 9/100, train_loss: 1.9466, train_acc: 0.3138, test_loss: 3.8977, test_acc: 0.1188 
epoch: 10/100, train_loss: 1.8998, train_acc: 0.3298, test_loss: 4.0639, test_acc: 0.1188 
epoch: 11/100, train_loss: 1.8415, train_acc: 0.3509, test_loss: 3.4850, test_acc: 0.1202 
epoch: 12/100, train_loss: 1.7529, train_acc: 0.3832, test_loss: 3.7546, test_acc: 0.1300 
epoch: 13/100, train_loss: 1.6715, train_acc: 0.4180, test_loss: 3.1588, test_acc: 0.1705 
epoch: 14/100, train_loss: 1.6211, train_acc: 0.4438, test_loss: 2.3653, test_acc: 0.2262 
epoch: 15/100, train_loss: 1.5730, train_acc: 0.4612, test_loss: 2.3049, test_acc: 0.2597 
epoch: 16/100, train_loss: 1.5300, train_acc: 0.4839, test_loss: 2.3087, test_acc: 0.2697 
epoch: 17/100, train_loss: 1.4713, train_acc: 0.5112, test_loss: 1.6805, test_acc: 0.3952 
epoch: 18/100, train_loss: 1.4150, train_acc: 0.5344, test_loss: 1.7526, test_acc: 0.4025 
epoch: 19/100, train_loss: 1.3388, train_acc: 0.5689, test_loss: 1.5864, test_acc: 0.4102 
epoch: 20/100, train_loss: 1.2635, train_acc: 0.6043, test_loss: 1.3688, test_acc: 0.5018 
epoch: 21/100, train_loss: 1.1816, train_acc: 0.6446, test_loss: 1.2759, test_acc: 0.5349 
epoch: 22/100, train_loss: 1.1221, train_acc: 0.6689, test_loss: 1.3360, test_acc: 0.5257 
epoch: 23/100, train_loss: 1.0724, train_acc: 0.6949, test_loss: 1.3977, test_acc: 0.5102 
